,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308,cluster_label,graduated
1044,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1045,-2.0,-2.0,1.0,2.0,0.0,0.0,1.0,1.7000000000000002,-2.0,-2.0,-2.0,0.0,0.7000000000000002,0.0,2.0,1.0,0.0,-0.30000000000000004,0,0
1046,2.0,-2.0,1.0,-2.0,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1047,-2.0,-2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1048,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-2.0,-2.0,-2.0,0.0,1.0,2.0,0.0,-1.0,0.0,-0.30000000000000004,0,1
1049,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1050,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,-2.0,-1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
1051,2.0,-2.0,0.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1052,-2.0,-2.0,0.0,0.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1053,-2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-2.0,-2.0,-2.0,2.0,1.0,-1.0,0.7000000000000002,-0.7,-0.7,0.0,0,0
1054,1.0,-2.0,0.2999999999999998,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,1.2999999999999998,0.0,0.7000000000000002,1.0,0,0
1055,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,1.0,-0.30000000000000004,0.0,0.0,-0.30000000000000004,1.0,0,0
1056,-2.0,-2.0,2.0,1.0,1.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1057,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1058,1.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,-1.3,-2.0,-2.0,-2.0,1.0,-0.30000000000000004,-0.30000000000000004,0.0,0.0,0.2999999999999998,0,1
1059,-2.0,-2.0,-2.0,2.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1060,-0.7,0.7000000000000002,1.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,1.0,-2.0,1.0,1.0,0.0,1.7000000000000002,1.2999999999999998,0,1
1061,2.0,2.0,2.0,2.0,1.0,1.0,2.0,-2.0,-2.0,2.0,-2.0,2.0,1.2999999999999998,2.0,1.7000000000000002,-1.0,1.2999999999999998,2.0,0,1
1062,2.0,0.0,1.0,2.0,0.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,-2.0,0.2999999999999998,1.0,1.0,0.0,0,0
1063,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,1.0,-0.30000000000000004,0.7000000000000002,0.2999999999999998,0.2999999999999998,0.0,0,1
1064,-1.0,-0.7,0.0,2.0,-1.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,0.0,0.7000000000000002,-1.0,1.2999999999999998,-0.30000000000000004,0,1
1065,1.0,1.7000000000000002,1.0,2.0,2.0,0.0,1.7000000000000002,0.0,-2.0,0.0,-2.0,0.0,1.0,2.0,1.7000000000000002,1.2999999999999998,-0.30000000000000004,1.7000000000000002,0,1
1066,-1.0,-2.0,0.2999999999999998,0.0,0.0,-2.0,0.0,0.7000000000000002,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
